Temperature (°C),Humidity (%),Occupancy,Energy Consumption (kWh)
18.9975,44.3975,1,290
19.1,44.5,0,60
19.1333333333333,44.5,0,70
19.2,44.36,1,110
19.2,44.06,1,90
19.2,44.06,1,60
19.2,44.09,1,70
19.2,44.1633333333333,1,80
19.23,44.39,0,60
19.29,44.7966666666667,0,40
19.29,45.1633333333333,1,30
19.23,45.03,0,70
19.29,45.7333333333333,0,50
19.29,45.1266666666667,1,80
19.2,44.83333333333329,1,80
19.2,44.7,1,50
19.2,44.9,1,40
19.2,44.69333333333329,0,50
19.2,43.6,1,40
19.2,43.12,1,40
19.1333333333333,42.7666666666667,0,50
19.1666666666667,42.4666666666667,1,30
19.1,42.2666666666667,1,30
19.1,42.09,1,20
19.1,41.963333333333296,1,20
19.06666666666669,41.76,1,50
19.0,41.6266666666667,0,40
19.0,41.56,0,50
19.0,41.433333333333294,1,40
19.0,41.29,1,60
19.0,41.29,1,40
19.0,41.2,1,40
19.0,41.1266666666667,1,50
19.033333333333296,41.1266666666667,1,40
19.1,41.1266666666667,1,40
19.1333333333333,41.0,1,30
19.2,40.933333333333294,1,30
19.2,40.76,1,30
19.2675,40.745,1,40
19.29,40.5666666666667,0,80
19.39,40.53,0,70
19.39,40.59,0,80
19.39,40.6266666666667,1,70
19.39,40.7,0,80
19.32333333333329,40.73,1,80
19.39,40.863333333333294,1,100
19.3566666666667,40.79,0,90
19.29,40.73,1,100
19.29,40.6633333333333,0,90
19.29,40.6633333333333,0,110
19.29,40.79,1,90
19.29,40.73,0,100
19.29,40.79,0,100
19.29,40.73,1,110
19.26,40.7,1,100
19.26,40.76,0,90
19.29,40.9,1,90
19.29,40.8266666666667,0,180
19.29,41.15,0,140
19.32333333333329,42.1566666666667,1,100
19.39,42.09666666666671,1,110
19.39,41.73,1,340
19.39,41.6566666666667,1,380
19.39,41.59,1,210
19.463333333333296,41.59,1,150
19.5,41.6,0,330
19.5,41.3266666666667,1,420
19.533333333333296,41.29,0,330
19.6,41.43,1,130
19.6,41.5,0,130
19.6,41.56,0,110
19.6,41.59,1,250
19.6,41.53,1,520
19.6,41.5,1,360
19.6,41.69333333333329,1,330
19.6,42.0,0,310
19.6,42.0,0,270
19.6,42.145,0,230
19.6,42.2,1,170
19.6,42.0666666666667,1,60
19.5,42.0,1,30
19.5,42.1333333333333,0,30
19.5,42.2,1,30
19.4266666666667,42.1266666666667,1,40
19.39,42.09,1,50
19.39,42.09,1,50
19.3566666666667,42.09,1,40
19.29,42.09,0,40
19.29,42.09,0,50
19.29,42.09,1,50
19.2,42.06,0,40
19.2,42.06,0,60
19.2,42.09,0,40
19.1333333333333,42.09,0,40
19.1,42.09,1,50
19.1,42.09,1,40
19.1,42.09,1,30
19.0,42.0,0,30
19.0,42.06,1,30
19.0,42.09,1,40
19.0,42.09,0,40
18.963333333333296,42.09,1,50
18.89,42.1633333333333,0,40
18.89,42.2,1,40
18.89,42.2,1,40
18.79,42.1266666666667,0,50
18.79,42.2,0,50
18.79,42.2,1,50
18.79,42.2,1,40
18.76,42.23,1,50
18.7,42.29,1,40
18.7,42.29,0,40
18.7,42.29,0,20
18.7,42.29,1,30
18.7,42.29,0,30
18.6666666666667,42.29,1,40
18.6,42.29,1,50
18.6,42.29,1,40
18.6,42.3266666666667,0,40
18.6,42.4,1,50
18.6,42.4,1,40
18.533333333333296,42.4,1,50
18.5,42.433333333333294,1,50
18.5,42.5,0,40
18.5,42.5,1,50
18.5,42.5,1,40
18.463333333333296,42.56,0,40
18.39,42.5,0,40
18.39,42.53,0,40
18.39,42.59,0,30
18.39,42.59,0,70
18.39,42.863333333333294,1,360
18.39,43.36,0,400
18.39,43.9666666666667,0,70
18.39,44.09,1,70
18.39,44.0225,0,390
18.39,43.933333333333294,1,100
18.39,43.76,0,80
18.39,43.7,0,70
18.39,43.59,1,170
18.39,43.53,1,360
18.39,43.363333333333294,1,180
18.39,43.29,1,130
18.4266666666667,43.3266666666667,1,70
18.5,43.4,0,70
18.533333333333296,43.4,0,180
18.533333333333296,43.2666666666667,1,170
18.6,43.29,1,390
18.6666666666667,43.49,1,420
18.7,43.6333333333333,1,340
18.7,43.433333333333294,0,550
18.79,43.7666666666667,1,690
18.79,43.69333333333329,0,620
18.82333333333329,43.26,1,610
18.9175,43.05,1,490
19.0,42.933333333333294,1,260
19.1,42.863333333333294,1,240
19.1666666666667,43.53,1,220
19.36,44.5666666666667,0,130
19.56666666666669,44.5,1,90
19.73,45.1233333333333,1,290
19.996666666666705,45.73,1,410
20.1,45.05666666666671,0,320
20.1666666666667,44.463333333333296,1,260
20.36,45.19333333333329,0,210
20.56666666666669,44.7266666666667,0,210
20.82333333333329,44.33333333333329,1,140
20.963333333333296,43.8666666666667,0,60
21.1,43.5266666666667,0,50
21.1666666666667,43.0666666666667,1,60
21.2,42.1,1,50
21.2,41.69333333333329,1,60
21.23,41.59666666666671,1,140
21.29,41.565,1,270
21.3566666666667,41.29,0,200
21.3566666666667,40.83333333333329,0,60
21.3566666666667,40.6266666666667,1,50
21.5,40.56,1,60
21.5,40.433333333333294,1,80
21.6,40.26,1,50
21.6,40.1266666666667,0,40
21.6,40.06,1,50
21.6,40.0,0,50
21.533333333333296,40.0,1,40
21.533333333333296,39.933333333333294,1,30
21.5,39.79,1,30
21.5,39.73,0,200
21.39,39.59,0,450
21.39,39.7966666666667,0,400
21.39,40.5666666666667,1,740
21.463333333333296,41.69333333333329,1,910
21.6333333333333,45.1966666666667,0,610
21.76,47.13,0,510
21.945,45.3,1,190
22.0,43.9966666666667,0,110
22.06666666666669,43.1966666666667,1,100
22.1,42.363333333333294,1,90
22.1,41.89,0,110
22.1333333333333,41.43,0,100
22.2,41.1566666666667,1,110
22.1,40.83333333333329,0,100
22.1666666666667,40.5,0,790
22.2,40.69333333333329,1,380
22.26,41.83333333333329,1,360
22.32333333333329,42.5633333333333,1,360
22.463333333333296,47.76333333333329,1,100
22.73,46.86,0,100
22.79,45.5266666666667,0,90
22.79,44.83333333333329,1,90
22.73,44.1,1,110
22.7,43.2966666666667,1,140
22.7,42.89,1,110
22.7,43.0666666666667,0,100
22.7,43.07,1,110
22.7,42.6333333333333,0,130
22.73,41.93,1,140
22.79,41.79,0,130
22.79,41.79,0,120
22.79,41.73,0,100
22.79,41.56,1,80
22.79,41.5,1,50
22.9266666666667,41.033333333333296,1,50
23.06666666666669,40.4266666666667,1,50
23.2,40.1633333333333,0,40
23.26,40.09,0,50
23.39,40.06,1,50
23.39,40.0,0,50
23.5,40.0,1,40
23.56666666666669,39.933333333333294,0,30
23.6,39.79,1,30
23.6,39.73,0,40
23.6,39.6633333333333,1,40
23.6666666666667,39.6633333333333,1,50
23.7,39.59,1,60
23.7,39.56,0,50
23.7,39.433333333333294,1,60
23.79,39.26,1,50
23.79,39.2,1,50
23.79,39.1633333333333,1,50
23.73,39.09,1,50
23.7,39.09,1,50
23.7,39.03,1,50
23.7,39.09,1,60
23.6333333333333,39.03,1,50
23.6,39.03,0,50
23.6,39.09,0,50
23.5,39.09,1,50
23.4266666666667,39.09,1,40
23.39,39.23,1,50
23.32333333333329,39.363333333333294,1,40
23.29,39.5,0,30
23.23,39.433333333333294,0,40
23.2,39.5,1,30
23.1333333333333,39.433333333333294,0,60
23.1,39.45,1,50
23.0,39.4,0,50
22.9266666666667,39.4,1,40
22.89,39.433333333333294,1,50
22.82333333333329,39.5,1,60
22.79,39.53,1,50
22.73,39.59,0,50
22.6666666666667,39.56,1,50
22.6,39.5,1,50
22.56666666666669,39.5,0,40
22.5,39.5,1,50
22.39,39.4,1,50
22.39,39.4,1,50
22.3566666666667,39.863333333333294,1,60
22.29,39.79,1,50
22.2,39.7,1,40
22.2,39.7,1,50
22.1666666666667,39.7,1,50
22.1,39.7,0,50
22.06666666666669,39.6633333333333,0,30
22.0,39.6175,0,70
21.9266666666667,39.9,1,50
21.89,40.223333333333294,1,50
21.89,40.2966666666667,0,50
21.8566666666667,40.363333333333294,1,50
21.79,40.09666666666671,0,40
21.6333333333333,36.66666666666671,1,50
21.36,34.4,1,50
21.06666666666669,33.4333333333333,1,150
21.0,33.56,1,390
20.89,33.86,1,390
20.89,34.1933333333333,0,380
20.79,34.6666666666667,0,400
20.79,35.1933333333333,1,370
20.76,35.9266666666667,1,310
20.76,36.4,1,40
20.79,36.69333333333329,1,50
20.79,37.0266666666667,1,70
20.89,37.36,1,60
20.89,37.6333333333333,1,90
20.89,37.8,1,60
20.89,38.0666666666667,0,60
20.89,38.2,1,100
20.9266666666667,38.29,0,380
21.0,38.363333333333294,1,390
21.0,38.433333333333294,1,130
21.0,38.56,0,60
20.963333333333296,38.59,1,60
20.89,38.59,1,50
20.89,38.5266666666667,0,60
20.89,38.4,0,60
20.89,38.5,1,240
20.89,38.893333333333295,1,80
21.0,39.79,1,80
21.0,39.99,1,400
21.1,39.5266666666667,1,400
21.1,39.3266666666667,1,460
21.2,39.1633333333333,1,170
21.2,39.03,1,210
21.29,38.995,1,190
21.32333333333329,38.76,0,70
21.39,38.7,0,80
21.4266666666667,38.79,1,60
21.5,38.79,1,70
21.5,38.8266666666667,1,60
21.5,39.0266666666667,0,70
21.6,39.06,0,60
21.6666666666667,38.933333333333294,0,60
21.73,38.69333333333329,0,60
21.79,38.36,1,60
21.82333333333329,38.29,0,60
21.963333333333296,38.29,1,50
22.033333333333296,38.1266666666667,1,50
22.1666666666667,38.2,0,60
22.2,38.09,1,50
22.26,38.09,1,50
22.32333333333329,38.06,0,70
22.32333333333329,38.0,1,50
22.32333333333329,37.9666666666667,1,60
22.39,37.8725,1,60
22.39,37.863333333333294,0,90
22.39,37.79,1,100
22.39,37.79,1,90
22.39,37.79,0,100
22.39,37.79,1,110
22.39,37.79,1,100
22.39,37.79,1,80
22.39,37.86,0,110
22.39,38.66666666666671,1,260
22.463333333333296,39.9566666666667,0,350
22.39,42.03,0,500
22.4266666666667,43.39,0,370
22.5,45.6633333333333,0,330
22.5,47.19333333333329,0,100
22.56666666666669,46.86,0,110
22.6,44.893333333333295,1,140
22.6,43.893333333333295,0,310
22.6,42.4966666666667,0,330
22.6,41.7566666666667,1,190
22.6,41.05,1,160
22.7,40.863333333333294,1,160
22.76,40.73,0,480
22.89,40.59,0,280
22.963333333333296,40.463333333333296,0,130
23.033333333333296,40.223333333333294,0,150
23.1,39.963333333333296,0,140
23.2,39.723333333333294,0,130
23.2,39.53,0,130
23.2,39.33333333333329,0,340
23.2,39.1266666666667,1,490
23.2,39.06,0,230
23.2,38.933333333333294,0,360
23.26,39.0,1,410
23.26,39.19333333333329,1,150
23.2,39.23,0,80
23.2,39.363333333333294,1,80
23.2,39.5,1,70
23.2,39.56,0,70
23.1,39.6266666666667,1,70
23.1,39.7,1,60
23.1,39.76,0,60
23.0,39.8,0,50
23.0,40.0,1,50
22.89,40.1266666666667,1,50
22.89,40.2,0,30
22.79,40.09,0,20
22.79,40.1633333333333,0,40
22.76,40.23,1,50
22.7,40.29,1,50
22.6666666666667,40.29,0,50
22.6,40.29,1,60
22.6,40.29,1,50
22.6,40.29,0,60
22.5,40.29,0,50
22.5,40.29,1,40
22.39,40.2,1,50
22.39,40.2,1,50
22.3566666666667,40.2,1,50
22.29,40.2,0,50
22.29,40.2,1,40
22.2,40.09,1,30
22.2,40.09,0,30
22.1666666666667,40.09,0,40
22.1,40.09,0,50
22.06666666666669,40.06,0,50
22.0,40.0,0,50
21.963333333333296,40.0,0,50
21.89,40.0,0,60
21.89,40.0,0,50
21.89,40.0,1,50
21.79,39.9,1,40
21.79,39.9,1,50
21.76,39.9,1,50
21.7,39.9,1,50
21.7,39.9,0,50
21.6333333333333,39.8266666666667,1,30
21.6,39.9,1,30
21.6,39.9,1,30
21.5,39.9,1,50
21.5,39.925,0,50
21.4266666666667,39.933333333333294,0,40
21.39,39.9,0,60
21.39,39.9,1,60
21.3566666666667,39.933333333333294,1,50
21.29,40.0,0,50
21.29,40.03,1,50
21.23,40.03,1,220
21.2,39.863333333333294,0,390
21.2,39.79,0,380
21.2,39.963333333333296,0,390
21.2,40.223333333333294,0,390
21.29,40.53,0,240
21.3566666666667,40.6633333333333,0,40
21.5,40.7,0,70
21.5,41.033333333333296,0,50
21.5,41.8,1,50
21.56666666666669,42.5266666666667,0,70
21.6333333333333,42.1,1,60
21.7,41.6333333333333,1,70
21.745,40.995,1,60
21.79,40.79,0,50
21.8566666666667,40.863333333333294,0,60
21.89,40.79,1,60
21.89,40.79,1,80
21.89,40.8266666666667,1,100
21.963333333333296,41.1,0,60
22.0,41.33333333333329,0,70
22.0,41.1266666666667,1,60
22.033333333333296,41.03,1,60
22.1,41.03,1,50
22.1,41.0,1,50
22.1666666666667,41.06,0,40
22.2,41.09,1,50
22.2,41.1633333333333,0,70
22.1666666666667,41.23,0,60
22.1666666666667,41.29,1,60
22.1,41.29,1,80
22.1,41.29,0,80
22.1,41.29,0,80
22.075,40.045,1,90
22.0,39.223333333333294,0,90
22.0,39.6266666666667,1,100
22.0,39.5666666666667,0,80
21.963333333333296,39.56,1,90
21.89,39.433333333333294,1,80
21.89,39.53,0,80
21.89,39.59,0,80
21.89,39.5,0,80
21.89,39.5,0,90
21.89,39.4666666666667,1,70
21.89,39.4,0,50
21.89,39.4,1,60
21.89,39.4,0,70
21.89,39.26,1,80
21.82333333333329,39.1266666666667,1,70
21.76,39.06,1,370
21.7,38.933333333333294,1,410
21.7,38.93,1,250
21.7,38.79,0,80
21.65,38.69,1,70
21.6,38.56,1,70
21.6,38.5,1,80
21.5,38.4,0,70
21.5,38.3266666666667,1,80
21.5,38.26,1,80
21.4266666666667,38.1266666666667,0,150
21.39,38.23,0,380
21.39,38.43,1,290
21.39,38.56,1,270
21.32333333333329,38.56,1,420
21.29,38.5,0,280
21.29,38.56,1,300
21.4266666666667,39.0,0,350
21.56666666666669,39.06,0,270
21.73,40.9,0,560
21.93,42.7666666666667,1,1080
22.16333333333329,42.4,1,750
22.496666666666705,43.19333333333329,1,390
22.893333333333292,42.19333333333329,0,350
23.175,41.67,1,340
23.2,41.2266666666667,0,290
23.29,40.7966666666667,1,230
23.29,40.39,1,120
23.29,39.93,0,110
23.29,39.73,1,100
23.29,39.6633333333333,0,110
23.29,39.463333333333296,1,130
23.29,39.1266666666667,1,140
23.29,39.0666666666667,0,110
23.29,38.7,1,100
23.29,38.7,0,100
23.29,38.56,1,110
23.23,38.433333333333294,1,110
23.26,38.363333333333294,1,190
23.2,38.29,0,450
23.1666666666667,38.1633333333333,1,210
23.1,38.09,1,100
23.06666666666669,38.1266666666667,0,90
23.0,38.33333333333329,0,90
22.89,38.545,1,80
22.8566666666667,38.79,1,70
22.79,38.863333333333294,1,70
22.79,38.86,1,70
22.73,39.19333333333329,1,60
22.6,39.23,0,30
22.6,39.29,0,30
22.5,39.363333333333294,0,30
22.4266666666667,39.29,1,40
22.39,39.29,0,50
22.32333333333329,39.363333333333294,1,60
22.29,39.433333333333294,1,50
22.23,39.5,1,50
22.2,39.5,0,50
22.1333333333333,39.56,1,50
22.06666666666669,39.6633333333333,0,50
22.0,39.6633333333333,1,50
22.0,39.7,0,50
21.9266666666667,39.7,0,60
21.89,39.73,1,50
21.865,39.7675,0,60
21.79,39.7,0,50
21.76,39.79,1,40
21.7,39.79,1,30
21.7,39.8266666666667,1,30
21.6333333333333,39.8266666666667,1,30
21.6,39.8266666666667,1,60
21.6,39.9,0,50
21.5,40.0,0,60
21.5,40.0,0,50
21.5,40.03,1,50
21.4266666666667,40.03,1,50
21.39,40.0,1,40
21.39,40.06,1,60
21.29,40.09,1,50
21.29,40.09,0,60
21.29,40.2,1,50
21.23,40.2,1,50
21.2,40.2,1,40
21.2,40.2,0,50
21.1,40.29,1,50
21.1,40.29,1,30
21.1,40.29,1,40
21.0,40.29,1,30
21.0,40.363333333333294,1,50
21.0,40.4,1,50
21.0,40.4,0,40
20.963333333333296,40.433333333333294,1,50
20.89,40.5,1,50
20.89,40.5,1,170
20.89,40.5,1,400
20.79,40.53,1,390
20.79,40.723333333333294,1,370
20.79,40.933333333333294,1,390
20.79,41.1333333333333,0,370
20.79,41.2,1,380
20.79,41.2,1,100
20.79,41.26,0,90
20.79,41.26,1,470
20.79,41.645,1,320
20.82333333333329,42.1266666666667,1,270
20.89,42.4,1,260
20.9266666666667,42.39,0,230
21.0,42.59,0,470
21.1333333333333,42.533333333333296,0,400
21.2,42.33333333333329,1,290
21.39,41.8,0,100
21.463333333333296,40.6,0,90
21.6333333333333,39.9666666666667,0,90
21.7,39.7666666666667,1,90
21.73,39.5266666666667,1,90
21.8566666666667,39.4,0,100
21.89,39.26,0,80
21.963333333333296,39.26,1,180
22.033333333333296,39.19333333333329,1,440
22.1,38.8,0,300
22.1,37.933333333333294,1,250
22.033333333333296,37.4,0,280
22.033333333333296,37.9266666666667,0,460
22.1,38.25,1,120
22.1,38.2666666666667,1,120
22.1,38.26,1,110
22.1,38.26,0,130
22.033333333333296,38.23,1,110
22.1,38.23,1,120
22.1,38.06,0,120
22.1,38.06,1,120
22.06666666666669,38.1633333333333,0,130
22.0,38.09,1,120
22.0,38.23,0,120
22.0,38.23,1,410
22.0,37.0266666666667,0,420
21.9266666666667,34.9,1,140
21.8566666666667,33.13,1,60
21.73,32.4633333333333,1,60
21.6333333333333,32.0233333333333,0,70
21.7,32.6966666666667,1,80
21.7,33.4266666666667,0,100
21.7,33.96,1,80
21.7,34.245,0,80
21.7,34.5666666666667,0,70
21.7,34.8333333333333,0,80
21.7,35.0666666666667,1,80
21.76,35.26,1,90
21.73,35.4333333333333,0,80
21.79,35.56,1,80
21.7,35.6266666666667,1,80
21.7,35.7,1,80
21.7,35.59,1,80
21.7,35.59,1,90
21.6,35.73,1,130
21.6,35.79,0,380
21.5,36.76,0,800
21.56666666666669,38.6266666666667,1,790
21.6333333333333,42.0666666666667,1,540
21.7,45.0666666666667,0,120
21.79,45.5266666666667,0,110
21.8566666666667,43.5266666666667,1,160
21.9266666666667,41.86,1,140
22.025,41.075,0,550
22.1,40.7666666666667,0,530
22.23,46.26,1,100
22.29,47.7333333333333,1,100
22.3566666666667,45.63,0,90
22.29,44.63,0,90
22.29,43.26333333333329,0,100
22.29,42.4566666666667,1,130
22.39,41.6233333333333,0,110
22.39,42.09666666666671,0,120
22.5,43.293333333333294,1,100
22.4266666666667,41.83333333333329,0,110
22.4266666666667,40.393333333333295,1,100
22.4266666666667,39.6,0,120
22.5,39.29,0,250
22.5,39.23,0,110
22.5,39.0266666666667,1,110
22.5,38.8266666666667,1,150
22.5,38.73,1,110
22.5,38.73,0,50
22.445,38.4,1,40
22.39,38.73,0,50
22.32333333333329,38.863333333333294,0,50
22.29,39.1566666666667,1,70
22.29,39.29,0,60
22.2,39.5666666666667,0,60
22.2,39.7,0,70
22.1,39.8266666666667,0,50
22.1,39.9,0,70
22.0,39.9,1,60
21.9266666666667,39.9,1,70
21.89,39.9,1,60
21.82333333333329,39.9,1,60
21.79,39.933333333333294,0,50
21.73,40.0,0,40
21.6666666666667,40.0,0,30
21.6,40.19333333333329,1,40
21.56666666666669,40.5,0,50
21.5,40.69333333333329,1,50
21.463333333333296,40.9,1,40
21.39,40.9,1,50
21.32333333333329,40.8266666666667,1,40
21.26,40.76,0,40
21.2,40.7,1,40
21.1666666666667,40.7,1,60
21.1,40.7,0,50
21.0,40.59,1,50
21.0,40.59,1,40
20.963333333333296,40.6633333333333,1,40
20.89,40.6633333333333,1,20
20.89,40.59,1,30
20.89,40.59,0,20
20.79,40.59,0,50
20.79,40.59,1,60
20.76,40.53,1,40
20.7,40.59,0,50
20.7,40.59,0,40
20.6333333333333,40.53,1,40
20.6,40.53,1,50
20.575,40.59,1,50
20.5,40.59,0,40
20.5,40.6266666666667,0,50
20.4266666666667,40.5666666666667,0,40
20.39,40.59,1,50
20.39,40.6633333333333,0,30
20.29,40.7,1,20
20.29,40.7,0,30
20.29,40.7,1,30
20.23,40.7,1,50
20.2,40.7666666666667,1,80
20.2,41.0266666666667,0,40
20.2,41.2666666666667,0,50
20.2,41.4,0,40
20.1333333333333,41.4,1,70
20.1333333333333,41.4,1,100
20.1,41.36,1,60
20.1,41.56,1,50
20.1,41.59,1,40
20.033333333333296,41.463333333333296,0,40
20.05,41.45,1,40
20.0,41.4,1,20
20.0,41.4,0,20
20.0,41.4,1,30
19.9266666666667,41.4,0,50
19.89,41.4,0,50
19.89,41.4,1,40
19.8566666666667,41.363333333333294,0,40
19.79,41.23,1,40
19.79,41.2,0,40
19.79,41.2,0,50
19.76,41.2,0,50
19.7,41.2,0,50
19.7,41.1633333333333,1,40
19.7,41.1633333333333,0,40
19.7,41.2,1,20
19.7,41.2,1,20
19.6,41.09,1,30
19.6,41.03,1,40
19.6,41.045,1,50
19.6,41.1266666666667,0,50
19.6,41.2,0,40
19.6,41.2,0,40
19.6,41.2,1,50
19.6,41.23,0,40
